PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
CTE3,Gaz naturel (unité propre),GWh PCS,4 157,5 201,5 166,4 838,4 712,4 788
CTE4,Gaz naturel,ktep,322,402,400,374,365,371
CTE5,Électricité (unité propre),GWh,6 632,6 729,6 900,6 843,6 764,6 643
CTE6,Électricité ,ktep,570,579,593,588,582,571
CTE8,Chaleur commercialisée,ktep,17,22,24,27,32,25
CA1,Agriculture/sylviculture/pêche,,486,488,474,487,496,488
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,31,32,32,33,33,35
CA2,Produits pétroliers,ktep,351,343,328,332,348,339
CA21,                  dont pêche,ktep,38,36,34,35,36,32
CA3,Gaz naturel (unité propre),GWh PCS,285,331,292,407,381,371
CA4,Gaz naturel,ktep,22,26,23,31,30,29
CA5,Électricité (unité propre),GWh,947,1 025,1 059,1 060,990,986
CA6,Électricité ,ktep,81,88,91,91,85,85
CA8,Chaleur commercialisée,ktep,0,0,0,0,0,0
C2,Consommation finale non énergétique,ktep,0,0,0,0,0,0
C3,Charbon (hors goudrons de houille),ktep,0,0,0,0,0,0
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,0,0,0,0,0
C13,Consommation finale non énergétique de gaz,ktep,0,0,0,0,0,0
C14,Consommation finale non énergétique de gaz,GWh PCS,0,0,0,0,0,0
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,8296,8511,8458,8403,8325,8326
C6,Charbon,ktep,11,9,9,10,11,12
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,364,386,421,401,383,387
C10,  - Biomasse,ktep,299,314,335,328,320,319
C11,  - Biogaz,ktep,9,7,10,11,11,13
C12,  - Déchets urbains,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,7,8
C13,  - Déchets industriels,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,43
C14,  - Géothermie,ktep,0,0,0,0,0,0
C15,  - Solaire thermique,ktep,4,5,5,5,Secret primaire,5
C8,Biocarburants *,ktep,200,200,216,236,245,252
C9,Chaleur commercialisée,ktep,113,105,117,121,110,121
C30,Produits pétroliers (non compris biocarburants),ktep,4331,4337,4036,4111,4039,4037
C31,      dont fioul domestique,ktep,559,624,422,423,385,374
C32,      dont gazole non routier (non compris biocarburants),ktep,581,562,415,402,383,403
C33,      dont supercarburants (non compris biocarburants),ktep,407,407,422,439,456,485
C34,      dont gazole routier (non compris biocarburants),ktep,2 169,2 153,2 203,2 237,2 206,2 179
C35,      dont GPL,ktep,170,168,173,174,169,168
C16,Gaz naturel,ktep,1 286,1 423,1 550,1 423,1 452,1 454
C17,Gaz naturel,GWh PCS,16 612,18 391,20 030,18 387,18 768,18 788
C18,Electricité,ktep,1 992,2 052,2 109,2 101,2 085,2 063
C19,Electricité,GWh,23 170,23 862,24 525,24 432,24 250,23 997
