PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
CR4,Gaz naturel,ktep,10 841,11 673,12 630,12 271,11 548,11 363
CR5,Électricité (unité propre),GWh,148 127,154 570,160 038,158 144,157 257,156 729
CR6,Électricité ,ktep,12 737,13 291,13 761,13 598,13 522,13 476
CR8,Chaleur commercialisée,ktep,1 030,1 170,1 262,1 248,1 265,1 287
CTE1,Tertiaire,ktep,20842,21634,21734,22120,21759,21411
CTE7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,500,463,502,562,540,548
CTE2,Produits pétroliers,ktep,2 496,2 622,2 462,2 591,2 438,2 382
CTE3,Gaz naturel (unité propre),GWh PCS,71 625,76 126,77 438,80 271,78 794,78 341
CTE4,Gaz naturel,ktep,5 543,5 891,5 993,6 212,6 098,6 062
CTE5,Électricité (unité propre),GWh,135 546,139 054,139 550,138 961,138 175,135 122
CTE6,Électricité ,ktep,11 655,11 956,11 999,11 948,11 881,11 618
CTE8,Chaleur commercialisée,ktep,648,701,778,807,802,800
CA1,Agriculture/sylviculture/pêche,,4 384,4 419,4 297,4 273,4 321,4 290
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,165,175,176,183,191,201
CA2,Produits pétroliers,ktep,3 327,3 317,3 184,3 152,3 190,3 156
CA21,                  dont pêche,ktep,279,268,261,303,285,291
CA3,Gaz naturel (unité propre),GWh PCS,2 278,2 035,2 134,2 134,2 424,2 440
CA4,Gaz naturel,ktep,176,157,165,165,188,189
CA5,Électricité (unité propre),GWh,8 211,8 869,8 878,8 893,8 606,8 442
CA6,Électricité ,ktep,706,763,763,765,740,726
CA8,Chaleur commercialisée,ktep,9,7,9,8,12,19
C2,Consommation finale non énergétique,ktep,10974,10530,9841,10625,9329,9770
C3,Charbon (hors goudrons de houille),ktep,211,212,228,201,200,140
C4,Produits pétroliers (pétrochimie uniquement),ktep,9 684,9 180,8 438,9 248,7 929,8 444
C13,Consommation finale non énergétique de gaz,ktep,1 080,1 137,1 175,1 176,1 200,1 187
C14,Consommation finale non énergétique de gaz,GWh PCS,13 950,14 694,15 179,15 194,15 503,15 338
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,145508,148168,150526,150337,148079,146289
C6,Charbon,ktep,5218,4993,4900,5493,5559,5030
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,8374,8800,9380,9054,8964,8996
C10,  - Biomasse,ktep,7 627,8 093,8 559,8 230,8 136,8 134
C11,  - Biogaz,ktep,107,117,153,186,193,209
C12,  - Déchets urbains,ktep,149,103,127,154,122,115
C13,  - Déchets industriels,ktep,355,348,399,340,368,392
C14,  - Géothermie,ktep,40,40,40,40,40,40
C15,  - Solaire thermique,ktep,95,98,101,102,104,106
C8,Biocarburants *,ktep,2 955,2 996,3 115,3 336,3 398,3 458
C9,Chaleur commercialisée,ktep,3 015,3 316,3 698,3 780,3 561,3 727
C30,Produits pétroliers (non compris biocarburants),ktep,61996,62564,61874,62207,60728,60396
C31,      dont fioul domestique,ktep,6 518,6 713,6 331,6 296,5 741,5 393
C32,      dont gazole non routier (non compris biocarburants),ktep,4 447,4 357,4 037,4 087,4 007,4 022
C33,      dont supercarburants (non compris biocarburants),ktep,6 604,6 687,6 898,7 123,7 349,7 832
C34,      dont gazole routier (non compris biocarburants),ktep,31 593,31 875,31 870,31 793,30 651,30 032
C35,      dont GPL,ktep,1 969,1 968,1 944,1 929,1 875,1 841
C16,Gaz naturel,ktep,27 929,28 657,30 062,29 263,28 858,28 120
C17,Gaz naturel,GWh PCS,360 909,370 311,388 472,378 138,372 910,363 373
C18,Electricité,ktep,36 021,36 842,37 496,37 205,37 010,36 563
C19,Electricité,GWh,418 924,428 471,436 082,432 695,430 432,425 222
