PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
CTE1,Tertiaire,ktep,1432,1504,1464,1472,1535,1522
CTE7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,17,12,11,14,13,19
CTE2,Produits pétroliers,ktep,150,161,144,153,154,143
CTE3,Gaz naturel (unité propre),GWh PCS,3 496,4 065,3 666,3 489,4 317,4 340
CTE4,Gaz naturel,ktep,271,315,284,270,334,336
CTE5,Électricité (unité propre),GWh,11 485,11 783,11 888,11 955,11 960,11 849
CTE6,Électricité ,ktep,988,1 013,1 022,1 028,1 028,1 019
CTE8,Chaleur commercialisée,ktep,7,3,2,6,5,5
CA1,Agriculture/sylviculture/pêche,,158,146,138,130,132,135
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,8,7,7,8,8,8
CA2,Produits pétroliers,ktep,97,89,81,72,75,75
CA21,                  dont pêche,ktep,41,29,23,19,21,17
CA3,Gaz naturel (unité propre),GWh PCS,254,276,273,268,293,293
CA4,Gaz naturel,ktep,20,21,21,21,23,23
CA5,Électricité (unité propre),GWh,381,330,333,345,319,335
CA6,Électricité ,ktep,33,28,29,30,27,29
CA8,Chaleur commercialisée,ktep,0,0,0,0,0,0
C2,Consommation finale non énergétique,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
C3,Charbon (hors goudrons de houille),ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C4,Produits pétroliers (pétrochimie uniquement),ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C13,Consommation finale non énergétique de gaz,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C14,Consommation finale non énergétique de gaz,GWh PCS,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,12093,11970,11762,11885,12175,12182
C6,Charbon,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,456,485,505,490,474,469
C10,  - Biomasse,ktep,415,454,469,448,429,421
C11,  - Biogaz,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C12,  - Déchets urbains,ktep,8,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C13,  - Déchets industriels,ktep,Secret primaire,11,19,21,25,22
C14,  - Géothermie,ktep,0,0,0,0,0,0
C15,  - Solaire thermique,ktep,14,14,14,15,15,15
C8,Biocarburants *,ktep,239,246,247,266,268,274
C9,Chaleur commercialisée,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
C30,Produits pétroliers (non compris biocarburants),ktep,4682,4747,4617,4683,4584,4590
C31,      dont fioul domestique,ktep,378,395,352,357,337,300
C32,      dont gazole non routier (non compris biocarburants),ktep,152,155,160,165,156,156
C33,      dont supercarburants (non compris biocarburants),ktep,672,684,698,724,741,787
C34,      dont gazole routier (non compris biocarburants),ktep,2 442,2 502,2 462,2 487,2 394,2 342
C35,      dont GPL,ktep,126,129,125,123,124,119
C16,Gaz naturel,ktep,1 816,1 765,1 728,1 643,1 893,1 907
C17,Gaz naturel,GWh PCS,23 461,22 806,22 323,21 234,24 456,24 645
C18,Electricité,ktep,3 042,3 083,3 101,3 056,3 071,3 074
C19,Electricité,GWh,35 378,35 850,36 064,35 539,35 720,35 752
