CTE3,Gaz naturel (unité propre),GWh PCS,4 605,5 190,5 190,4 455,4 805,4 725
CTE4,Gaz naturel,ktep,356,402,402,345,372,366
CTE5,Électricité (unité propre),GWh,5 921,5 998,6 139,6 116,6 078,5 995
CTE6,Électricité ,ktep,509,516,528,526,523,515
CTE8,Chaleur commercialisée,ktep,18,18,22,20,19,20
CA1,Agriculture/sylviculture/pêche,,588,595,598,619,663,644
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,13,14,14,16,17,19
CA2,Produits pétroliers,ktep,415,433,414,446,472,443
CA21,                  dont pêche,ktep,92,94,110,148,134,111
CA3,Gaz naturel (unité propre),GWh PCS,550,438,592,460,714,734
CA4,Gaz naturel,ktep,43,34,46,36,55,57
CA5,Électricité (unité propre),GWh,1 324,1 326,1 430,1 410,1 341,1 340
CA6,Électricité ,ktep,114,114,123,121,115,115
CA8,Chaleur commercialisée,ktep,2,0,2,1,4,10
C2,Consommation finale non énergétique,ktep,0,Secret induit,Secret induit,0,0,Secret induit
C3,Charbon (hors goudrons de houille),ktep,0,Secret primaire,Secret primaire,0,0,Secret primaire
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,0,0,0,0,0
C13,Consommation finale non énergétique de gaz,ktep,0,0,0,0,0,0
C14,Consommation finale non énergétique de gaz,GWh PCS,0,0,0,0,0,0
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,6633,6766,7066,7047,7064,7036
C6,Charbon,ktep,0,Secret primaire,Secret primaire,0,0,Secret primaire
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,455,506,507,483,475,487
C10,  - Biomasse,ktep,443,496,495,468,459,466
C11,  - Biogaz,ktep,4,4,Secret primaire,7,8,11
C12,  - Déchets urbains,ktep,5,Secret primaire,6,5,5,7
C13,  - Déchets industriels,ktep,Secret primaire,Secret primaire,Secret primaire,0,0,0
C14,  - Géothermie,ktep,0,0,0,0,0,0
C15,  - Solaire thermique,ktep,Secret primaire,3,Secret primaire,3,3,3
C8,Biocarburants *,ktep,166,167,177,192,197,203
C9,Chaleur commercialisée,ktep,75,Secret induit,Secret induit,108,97,Secret induit
C30,Produits pétroliers (non compris biocarburants),ktep,3099,3074,3256,3339,3279,3242
C31,      dont fioul domestique,ktep,314,288,366,360,348,313
C32,      dont gazole non routier (non compris biocarburants),ktep,205,197,250,255,253,256
C33,      dont supercarburants (non compris biocarburants),ktep,339,343,356,374,389,419
C34,      dont gazole routier (non compris biocarburants),ktep,1 795,1 803,1 830,1 847,1 798,1 788
C35,      dont GPL,ktep,162,162,163,166,167,159
C16,Gaz naturel,ktep,1 101,1 154,1 211,1 102,1 202,1 202
C17,Gaz naturel,GWh PCS,14 228,14 916,15 646,14 238,15 532,15 527
C18,Electricité,ktep,1 738,1 776,1 821,1 823,1 814,1 805
C19,Electricité,GWh,20 211,20 653,21 175,21 200,21 100,20 993
