PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
CR6,Électricité ,ktep,1 543,1 587,1 666,1 684,1 657,1 666
CR8,Chaleur commercialisée,ktep,127,153,166,152,151,151
CTE1,Tertiaire,ktep,2780,2898,2785,2967,2923,2855
CTE7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,60,65,61,70,76,78
CTE2,Produits pétroliers,ktep,423,451,361,388,371,372
CTE3,Gaz naturel (unité propre),GWh PCS,8 733,8 803,8 643,9 961,9 865,9 916
CTE4,Gaz naturel,ktep,676,681,669,771,763,767
CTE5,Électricité (unité propre),GWh,17 881,18 909,18 800,19 033,18 801,17 955
CTE6,Électricité ,ktep,1 537,1 626,1 616,1 637,1 617,1 544
CTE8,Chaleur commercialisée,ktep,84,74,77,102,96,93
CA1,Agriculture/sylviculture/pêche,,356,363,365,371,358,365
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,34,35,35,37,38,39
CA2,Produits pétroliers,ktep,249,248,250,251,243,251
CA21,                  dont pêche,ktep,0,0,0,5,0,0
CA3,Gaz naturel (unité propre),GWh PCS,107,90,52,78,76,83
CA4,Gaz naturel,ktep,8,7,4,6,6,6
CA5,Électricité (unité propre),GWh,691,785,807,821,745,710
CA6,Électricité ,ktep,59,68,69,71,64,61
CA8,Chaleur commercialisée,ktep,6,6,6,6,8,7
C2,Consommation finale non énergétique,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
C3,Charbon (hors goudrons de houille),ktep,78,92,144,82,127,85
C4,Produits pétroliers (pétrochimie uniquement),ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C13,Consommation finale non énergétique de gaz,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C14,Consommation finale non énergétique de gaz,GWh PCS,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,17948,18567,18559,18746,18327,18369
C6,Charbon,ktep,60,61,63,112,114,112
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,1250,1310,1387,1340,1325,1348
C10,  - Biomasse,ktep,1 164,1 217,1 281,1 243,1 221,1 237
C11,  - Biogaz,ktep,7,10,13,20,19,23
C12,  - Déchets urbains,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C13,  - Déchets industriels,ktep,51,54,66,47,50,55
C14,  - Géothermie,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C15,  - Solaire thermique,ktep,18,19,19,20,20,20
C8,Biocarburants *,ktep,400,409,413,444,454,466
C9,Chaleur commercialisée,ktep,432,468,481,483,435,509
C30,Produits pétroliers (non compris biocarburants),ktep,7715,7852,7471,7592,7438,7427
C31,      dont fioul domestique,ktep,1 111,1 133,917,954,871,853
C32,      dont gazole non routier (non compris biocarburants),ktep,497,504,431,437,433,445
C33,      dont supercarburants (non compris biocarburants),ktep,850,881,904,941,981,1 053
C34,      dont gazole routier (non compris biocarburants),ktep,4 310,4 380,4 274,4 302,4 182,4 127
C35,      dont GPL,ktep,256,261,261,260,253,249
C16,Gaz naturel,ktep,3 169,3 370,3 564,3 526,3 368,3 408
C17,Gaz naturel,GWh PCS,40 946,43 547,46 052,45 562,43 521,44 034
C18,Electricité,ktep,4 923,5 096,5 181,5 250,5 193,5 099
C19,Electricité,GWh,57 257,59 261,60 255,61 058,60 400,59 300
