PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
CR5,Électricité (unité propre),GWh,15 092,15 731,16 105,16 012,16 348,16 135
CR6,Électricité ,ktep,1 298,1 353,1 385,1 377,1 406,1 387
CR8,Chaleur commercialisée,ktep,22,24,26,30,25,29
CTE1,Tertiaire,ktep,1491,1538,1555,1585,1593,1581
CTE7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,39,44,42,46,40,40
CTE2,Produits pétroliers,ktep,151,168,188,206,198,196
CTE3,Gaz naturel (unité propre),GWh PCS,4 044,3 952,3 940,3 936,4 323,4 204
CTE4,Gaz naturel,ktep,313,306,305,305,335,325
CTE5,Électricité (unité propre),GWh,11 234,11 595,11 635,11 718,11 678,11 577
CTE6,Électricité ,ktep,966,997,1 000,1 008,1 004,995
CTE8,Chaleur commercialisée,ktep,22,23,20,20,16,24
CA1,Agriculture/sylviculture/pêche,,364,365,370,351,352,334
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,15,15,15,15,16,15
CA2,Produits pétroliers,ktep,276,279,284,265,269,254
CA21,                  dont pêche,ktep,14,17,17,16,16,17
CA3,Gaz naturel (unité propre),GWh PCS,148,81,66,74,75,82
CA4,Gaz naturel,ktep,11,6,5,6,6,6
CA5,Électricité (unité propre),GWh,726,749,770,758,722,680
CA6,Électricité ,ktep,62,64,66,65,62,58
CA8,Chaleur commercialisée,ktep,0,0,0,0,0,0
C2,Consommation finale non énergétique,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
C3,Charbon (hors goudrons de houille),ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,0,0,0,0,0
C13,Consommation finale non énergétique de gaz,ktep,0,0,0,0,0,0
C14,Consommation finale non énergétique de gaz,GWh PCS,0,0,0,0,0,0
Consommation finale énergétique par énergie,,,,,,,,
C5,Consommation finale énergétique totale,ktep,10224,10415,10666,10652,10702,10654
C6,Charbon,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
C7,Energies renouvelables & déchets (hors PAC et biocarburants),ktep,704,715,754,739,736,730
C10,  - Biomasse,ktep,598,622,657,636,636,643
C11,  - Biogaz,ktep,17,6,9,11,13,Secret primaire
C12,  - Déchets urbains,ktep,14,17,12,15,Secret primaire,Secret primaire
C13,  - Déchets industriels,ktep,44,39,44,45,48,36
C14,  - Géothermie,ktep,12,12,12,12,Secret primaire,12
C15,  - Solaire thermique,ktep,19,19,19,20,20,20
C8,Biocarburants *,ktep,277,283,299,314,320,331
C9,Chaleur commercialisée,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
C30,Produits pétroliers (non compris biocarburants),ktep,4996,5092,5231,5217,5110,5130
C31,      dont fioul domestique,ktep,403,417,460,473,452,415
C32,      dont gazole non routier (non compris biocarburants),ktep,332,351,368,365,348,353
C33,      dont supercarburants (non compris biocarburants),ktep,607,613,640,664,689,745
C34,      dont gazole routier (non compris biocarburants),ktep,2 971,3 029,3 082,3 016,2 919,2 902
C35,      dont GPL,ktep,196,195,188,186,184,178
C16,Gaz naturel,ktep,1 302,1 294,1 300,1 277,1 407,1 376
C17,Gaz naturel,GWh PCS,16 824,16 721,16 801,16 501,18 176,17 787
C18,Electricité,ktep,2 846,2 934,2 980,2 983,3 001,2 951
C19,Electricité,GWh,33 100,34 124,34 656,34 689,34 900,34 319
